location,target_end_date,reference_date,target,horizon,output_type,output_type_id,value,model
Central,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.25,8,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.5,21,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.75,40,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.9,68,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.975,140,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.1,2,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.25,5,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.5,13,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.75,29,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.9,49,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.975,104,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.1,1,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.25,4,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.5,8,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.75,14,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.9,20,AI4Casting_Hub-Ensemble_v1
Central,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.975,32,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.25,5,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.5,16,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.75,34,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.9,60,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.975,128,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.25,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.5,4,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.75,14,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.9,28,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.975,73,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.1,1,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.25,4,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.5,7,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.75,13,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.9,19,AI4Casting_Hub-Ensemble_v1
East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.975,31,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.25,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.5,6,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.75,17,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.9,38,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.975,98,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.25,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.5,4,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.75,11,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.9,19,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.975,58,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.025,1,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.1,1,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.25,1,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.5,3,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.75,5,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.9,8,AI4Casting_Hub-Ensemble_v1
North East,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.975,18,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.25,0,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.5,6,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.75,18,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.9,43,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.975,120,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.25,1,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.5,5,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.75,11,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.9,18,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.975,56,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.025,1,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.1,1,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.25,1,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.5,3,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.75,8,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.9,14,AI4Casting_Hub-Ensemble_v1
North West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.975,25,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.1,3,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.25,23,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.5,48,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.75,97,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.9,153,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.975,271,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.025,1,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.1,9,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.25,14,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.5,31,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.75,80,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.9,169,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.975,383,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.025,6,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.1,21,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.25,31,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.5,45,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.75,72,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.9,92,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.975,115,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.1,1,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.25,2,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.5,15,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.75,35,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.9,64,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.975,139,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.1,2,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.25,6,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.5,14,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.75,29,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.9,48,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.975,103,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.025,1,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.1,5,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.25,10,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.5,15,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.75,22,AI4Casting_Hub-Ensemble_v1
Toronto,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.9,28,AI4Casting_Hub-Ensemble_v1
