"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2026-04-11","2026-04-18","wk inc covid hosp",-1,"quantile",0.025,35.3333333333333
"Central","2026-04-11","2026-04-18","wk inc covid hosp",-1,"quantile",0.1,40.3333333333333
"Central","2026-04-11","2026-04-18","wk inc covid hosp",-1,"quantile",0.25,44.6666666666667
"Central","2026-04-11","2026-04-18","wk inc covid hosp",-1,"quantile",0.5,49
"Central","2026-04-11","2026-04-18","wk inc covid hosp",-1,"quantile",0.75,53.3333333333333
"Central","2026-04-11","2026-04-18","wk inc covid hosp",-1,"quantile",0.9,58.3333333333333
"Central","2026-04-11","2026-04-18","wk inc covid hosp",-1,"quantile",0.975,64
"Central","2026-04-11","2026-04-18","wk inc flu hosp",-1,"quantile",0.025,2
"Central","2026-04-11","2026-04-18","wk inc flu hosp",-1,"quantile",0.1,2.25
"Central","2026-04-11","2026-04-18","wk inc flu hosp",-1,"quantile",0.25,2.25
"Central","2026-04-11","2026-04-18","wk inc flu hosp",-1,"quantile",0.5,9.5
"Central","2026-04-11","2026-04-18","wk inc flu hosp",-1,"quantile",0.75,29
"Central","2026-04-11","2026-04-18","wk inc flu hosp",-1,"quantile",0.9,43.5
"Central","2026-04-11","2026-04-18","wk inc flu hosp",-1,"quantile",0.975,59.25
"Central","2026-04-11","2026-04-18","wk inc rsv hosp",-1,"quantile",0.025,9.5
"Central","2026-04-11","2026-04-18","wk inc rsv hosp",-1,"quantile",0.1,11
"Central","2026-04-11","2026-04-18","wk inc rsv hosp",-1,"quantile",0.25,12.75
"Central","2026-04-11","2026-04-18","wk inc rsv hosp",-1,"quantile",0.5,20
"Central","2026-04-11","2026-04-18","wk inc rsv hosp",-1,"quantile",0.75,31.5
"Central","2026-04-11","2026-04-18","wk inc rsv hosp",-1,"quantile",0.9,38.25
"Central","2026-04-11","2026-04-18","wk inc rsv hosp",-1,"quantile",0.975,41.75
"Central","2026-04-18","2026-04-18","wk inc covid hosp",0,"quantile",0.025,28.4285714285714
"Central","2026-04-18","2026-04-18","wk inc covid hosp",0,"quantile",0.1,36.2857142857143
"Central","2026-04-18","2026-04-18","wk inc covid hosp",0,"quantile",0.25,42.5714285714286
"Central","2026-04-18","2026-04-18","wk inc covid hosp",0,"quantile",0.5,47
"Central","2026-04-18","2026-04-18","wk inc covid hosp",0,"quantile",0.75,52.1428571428571
"Central","2026-04-18","2026-04-18","wk inc covid hosp",0,"quantile",0.9,58.8571428571429
"Central","2026-04-18","2026-04-18","wk inc covid hosp",0,"quantile",0.975,70.2857142857143
"Central","2026-04-18","2026-04-18","wk inc flu hosp",0,"quantile",0.025,3.375
"Central","2026-04-18","2026-04-18","wk inc flu hosp",0,"quantile",0.1,4.375
"Central","2026-04-18","2026-04-18","wk inc flu hosp",0,"quantile",0.25,5.75
"Central","2026-04-18","2026-04-18","wk inc flu hosp",0,"quantile",0.5,9.125
"Central","2026-04-18","2026-04-18","wk inc flu hosp",0,"quantile",0.75,29.875
"Central","2026-04-18","2026-04-18","wk inc flu hosp",0,"quantile",0.9,51.875
"Central","2026-04-18","2026-04-18","wk inc flu hosp",0,"quantile",0.975,85.125
"Central","2026-04-18","2026-04-18","wk inc rsv hosp",0,"quantile",0.025,11.375
"Central","2026-04-18","2026-04-18","wk inc rsv hosp",0,"quantile",0.1,14
"Central","2026-04-18","2026-04-18","wk inc rsv hosp",0,"quantile",0.25,15.125
"Central","2026-04-18","2026-04-18","wk inc rsv hosp",0,"quantile",0.5,18.25
"Central","2026-04-18","2026-04-18","wk inc rsv hosp",0,"quantile",0.75,24.625
"Central","2026-04-18","2026-04-18","wk inc rsv hosp",0,"quantile",0.9,28.5
"Central","2026-04-18","2026-04-18","wk inc rsv hosp",0,"quantile",0.975,32.125
"Central","2026-04-25","2026-04-18","wk inc covid hosp",1,"quantile",0.025,9
"Central","2026-04-25","2026-04-18","wk inc covid hosp",1,"quantile",0.1,20.7142857142857
"Central","2026-04-25","2026-04-18","wk inc covid hosp",1,"quantile",0.25,34.8571428571429
"Central","2026-04-25","2026-04-18","wk inc covid hosp",1,"quantile",0.5,44.4285714285714
"Central","2026-04-25","2026-04-18","wk inc covid hosp",1,"quantile",0.75,54.4285714285714
"Central","2026-04-25","2026-04-18","wk inc covid hosp",1,"quantile",0.9,70.1428571428571
"Central","2026-04-25","2026-04-18","wk inc covid hosp",1,"quantile",0.975,103.857142857143
"Central","2026-04-25","2026-04-18","wk inc flu hosp",1,"quantile",0.025,0.125
"Central","2026-04-25","2026-04-18","wk inc flu hosp",1,"quantile",0.1,1.875
"Central","2026-04-25","2026-04-18","wk inc flu hosp",1,"quantile",0.25,4.75
"Central","2026-04-25","2026-04-18","wk inc flu hosp",1,"quantile",0.5,9.875
"Central","2026-04-25","2026-04-18","wk inc flu hosp",1,"quantile",0.75,27
"Central","2026-04-25","2026-04-18","wk inc flu hosp",1,"quantile",0.9,48
"Central","2026-04-25","2026-04-18","wk inc flu hosp",1,"quantile",0.975,96.5
"Central","2026-04-25","2026-04-18","wk inc rsv hosp",1,"quantile",0.025,4.375
