"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2026-04-25,"0.025",33,2026-04-25,"wk inc covid hosp",0,"quantile"
"Central",2026-04-25,"0.1",33,2026-04-25,"wk inc covid hosp",0,"quantile"
"Central",2026-04-25,"0.25",33,2026-04-25,"wk inc covid hosp",0,"quantile"
"Central",2026-04-25,"0.5",33,2026-04-25,"wk inc covid hosp",0,"quantile"
"Central",2026-04-25,"0.75",33,2026-04-25,"wk inc covid hosp",0,"quantile"
"Central",2026-04-25,"0.9",33,2026-04-25,"wk inc covid hosp",0,"quantile"
"Central",2026-04-25,"0.975",33,2026-04-25,"wk inc covid hosp",0,"quantile"
"East",2026-04-25,"0.025",34,2026-04-25,"wk inc covid hosp",0,"quantile"
"East",2026-04-25,"0.1",34,2026-04-25,"wk inc covid hosp",0,"quantile"
"East",2026-04-25,"0.25",34,2026-04-25,"wk inc covid hosp",0,"quantile"
"East",2026-04-25,"0.5",34,2026-04-25,"wk inc covid hosp",0,"quantile"
"East",2026-04-25,"0.75",34,2026-04-25,"wk inc covid hosp",0,"quantile"
"East",2026-04-25,"0.9",34,2026-04-25,"wk inc covid hosp",0,"quantile"
"East",2026-04-25,"0.975",34,2026-04-25,"wk inc covid hosp",0,"quantile"
"North East",2026-04-25,"0.025",8,2026-04-25,"wk inc covid hosp",0,"quantile"
"North East",2026-04-25,"0.1",8,2026-04-25,"wk inc covid hosp",0,"quantile"
"North East",2026-04-25,"0.25",8,2026-04-25,"wk inc covid hosp",0,"quantile"
"North East",2026-04-25,"0.5",8,2026-04-25,"wk inc covid hosp",0,"quantile"
"North East",2026-04-25,"0.75",8,2026-04-25,"wk inc covid hosp",0,"quantile"
"North East",2026-04-25,"0.9",8,2026-04-25,"wk inc covid hosp",0,"quantile"
"North East",2026-04-25,"0.975",8,2026-04-25,"wk inc covid hosp",0,"quantile"
"North West",2026-04-25,"0.025",1,2026-04-25,"wk inc covid hosp",0,"quantile"
"North West",2026-04-25,"0.1",1,2026-04-25,"wk inc covid hosp",0,"quantile"
"North West",2026-04-25,"0.25",1,2026-04-25,"wk inc covid hosp",0,"quantile"
"North West",2026-04-25,"0.5",1,2026-04-25,"wk inc covid hosp",0,"quantile"
"North West",2026-04-25,"0.75",1,2026-04-25,"wk inc covid hosp",0,"quantile"
"North West",2026-04-25,"0.9",1,2026-04-25,"wk inc covid hosp",0,"quantile"
"North West",2026-04-25,"0.975",1,2026-04-25,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-25,"0.025",152,2026-04-25,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-25,"0.1",152,2026-04-25,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-25,"0.25",152,2026-04-25,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-25,"0.5",152,2026-04-25,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-25,"0.75",152,2026-04-25,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-25,"0.9",152,2026-04-25,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-25,"0.975",152,2026-04-25,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-25,"0.025",30,2026-04-25,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-25,"0.1",30,2026-04-25,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-25,"0.25",30,2026-04-25,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-25,"0.5",30,2026-04-25,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-25,"0.75",30,2026-04-25,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-25,"0.9",30,2026-04-25,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-25,"0.975",30,2026-04-25,"wk inc covid hosp",0,"quantile"
"West",2026-04-25,"0.025",45,2026-04-25,"wk inc covid hosp",0,"quantile"
"West",2026-04-25,"0.1",45,2026-04-25,"wk inc covid hosp",0,"quantile"
"West",2026-04-25,"0.25",45,2026-04-25,"wk inc covid hosp",0,"quantile"
"West",2026-04-25,"0.5",45,2026-04-25,"wk inc covid hosp",0,"quantile"
"West",2026-04-25,"0.75",45,2026-04-25,"wk inc covid hosp",0,"quantile"
"West",2026-04-25,"0.9",45,2026-04-25,"wk inc covid hosp",0,"quantile"
"West",2026-04-25,"0.975",45,2026-04-25,"wk inc covid hosp",0,"quantile"
"Central",2026-05-02,"0.025",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"Central",2026-05-02,"0.1",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"Central",2026-05-02,"0.25",24,2026-04-25,"wk inc covid hosp",1,"quantile"
"Central",2026-05-02,"0.5",33,2026-04-25,"wk inc covid hosp",1,"quantile"
"Central",2026-05-02,"0.75",42,2026-04-25,"wk inc covid hosp",1,"quantile"
"Central",2026-05-02,"0.9",67,2026-04-25,"wk inc covid hosp",1,"quantile"
"Central",2026-05-02,"0.975",137,2026-04-25,"wk inc covid hosp",1,"quantile"
"East",2026-05-02,"0.025",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"East",2026-05-02,"0.1",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"East",2026-05-02,"0.25",25,2026-04-25,"wk inc covid hosp",1,"quantile"
"East",2026-05-02,"0.5",34,2026-04-25,"wk inc covid hosp",1,"quantile"
"East",2026-05-02,"0.75",43,2026-04-25,"wk inc covid hosp",1,"quantile"
"East",2026-05-02,"0.9",68,2026-04-25,"wk inc covid hosp",1,"quantile"
"East",2026-05-02,"0.975",138,2026-04-25,"wk inc covid hosp",1,"quantile"
"North East",2026-05-02,"0.025",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"North East",2026-05-02,"0.1",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"North East",2026-05-02,"0.25",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"North East",2026-05-02,"0.5",8,2026-04-25,"wk inc covid hosp",1,"quantile"
"North East",2026-05-02,"0.75",17,2026-04-25,"wk inc covid hosp",1,"quantile"
"North East",2026-05-02,"0.9",42,2026-04-25,"wk inc covid hosp",1,"quantile"
"North East",2026-05-02,"0.975",112,2026-04-25,"wk inc covid hosp",1,"quantile"
"North West",2026-05-02,"0.025",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"North West",2026-05-02,"0.1",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"North West",2026-05-02,"0.25",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"North West",2026-05-02,"0.5",1,2026-04-25,"wk inc covid hosp",1,"quantile"
"North West",2026-05-02,"0.75",10,2026-04-25,"wk inc covid hosp",1,"quantile"
"North West",2026-05-02,"0.9",35,2026-04-25,"wk inc covid hosp",1,"quantile"
"North West",2026-05-02,"0.975",105,2026-04-25,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-02,"0.025",48,2026-04-25,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-02,"0.1",118,2026-04-25,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-02,"0.25",143,2026-04-25,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-02,"0.5",152,2026-04-25,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-02,"0.75",161,2026-04-25,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-02,"0.9",186,2026-04-25,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-02,"0.975",256,2026-04-25,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-02,"0.025",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-02,"0.1",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-02,"0.25",21,2026-04-25,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-02,"0.5",30,2026-04-25,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-02,"0.75",39,2026-04-25,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-02,"0.9",64,2026-04-25,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-02,"0.975",134,2026-04-25,"wk inc covid hosp",1,"quantile"
"West",2026-05-02,"0.025",0,2026-04-25,"wk inc covid hosp",1,"quantile"
"West",2026-05-02,"0.1",11,2026-04-25,"wk inc covid hosp",1,"quantile"
