"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2026-04-04,"0.025",43,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.1",43,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.25",43,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.5",44,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.75",44,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.9",44,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.975",44,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.025",46,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.1",46,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.25",46,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.5",47,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.75",47,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.9",47,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.975",47,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.025",1,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.1",1,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.25",1,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.5",2,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.75",2,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.9",2,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.975",2,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.025",0,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.1",0,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.25",0,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.5",1,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.75",1,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.9",1,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.975",1,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.025",224,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.1",224,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.25",224,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.5",224,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.75",225,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.9",225,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.975",225,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.025",46,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.1",46,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.25",46,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.5",47,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.75",47,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.9",47,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.975",47,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.025",79,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.1",79,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.25",79,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.5",80,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.75",80,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.9",80,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.975",80,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-11,"0.025",0,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.1",11,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.25",30,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.5",40,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.75",51,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.9",70,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.975",112,2026-04-04,"wk inc covid hosp",1,"quantile"
"East",2026-04-11,"0.025",0,2026-04-04,"wk inc covid hosp",1,"quantile"
"East",2026-04-11,"0.1",0,2026-04-04,"wk inc covid hosp",1,"quantile"
"East",2026-04-11,"0.25",10,2026-04-04,"wk inc covid hosp",1,"quantile"
