"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2026-04-18,"0.025",0,2026-04-18,"wk inc covid hosp",0,"quantile"
"Central",2026-04-18,"0.1",14,2026-04-18,"wk inc covid hosp",0,"quantile"
"Central",2026-04-18,"0.25",38,2026-04-18,"wk inc covid hosp",0,"quantile"
"Central",2026-04-18,"0.5",49,2026-04-18,"wk inc covid hosp",0,"quantile"
"Central",2026-04-18,"0.75",60,2026-04-18,"wk inc covid hosp",0,"quantile"
"Central",2026-04-18,"0.9",84,2026-04-18,"wk inc covid hosp",0,"quantile"
"Central",2026-04-18,"0.975",129,2026-04-18,"wk inc covid hosp",0,"quantile"
"Central",2026-04-25,"0.025",0,2026-04-18,"wk inc covid hosp",1,"quantile"
"Central",2026-04-25,"0.1",0,2026-04-18,"wk inc covid hosp",1,"quantile"
"Central",2026-04-25,"0.25",27,2026-04-18,"wk inc covid hosp",1,"quantile"
"Central",2026-04-25,"0.5",49,2026-04-18,"wk inc covid hosp",1,"quantile"
"Central",2026-04-25,"0.75",71,2026-04-18,"wk inc covid hosp",1,"quantile"
"Central",2026-04-25,"0.9",103,2026-04-18,"wk inc covid hosp",1,"quantile"
"Central",2026-04-25,"0.975",159,2026-04-18,"wk inc covid hosp",1,"quantile"
"Central",2026-05-02,"0.025",0,2026-04-18,"wk inc covid hosp",2,"quantile"
"Central",2026-05-02,"0.1",0,2026-04-18,"wk inc covid hosp",2,"quantile"
"Central",2026-05-02,"0.25",19,2026-04-18,"wk inc covid hosp",2,"quantile"
"Central",2026-05-02,"0.5",49,2026-04-18,"wk inc covid hosp",2,"quantile"
"Central",2026-05-02,"0.75",80,2026-04-18,"wk inc covid hosp",2,"quantile"
"Central",2026-05-02,"0.9",120,2026-04-18,"wk inc covid hosp",2,"quantile"
"Central",2026-05-02,"0.975",195,2026-04-18,"wk inc covid hosp",2,"quantile"
"Central",2026-05-09,"0.025",0,2026-04-18,"wk inc covid hosp",3,"quantile"
"Central",2026-05-09,"0.1",0,2026-04-18,"wk inc covid hosp",3,"quantile"
"Central",2026-05-09,"0.25",12,2026-04-18,"wk inc covid hosp",3,"quantile"
"Central",2026-05-09,"0.5",49,2026-04-18,"wk inc covid hosp",3,"quantile"
"Central",2026-05-09,"0.75",88,2026-04-18,"wk inc covid hosp",3,"quantile"
"Central",2026-05-09,"0.9",133,2026-04-18,"wk inc covid hosp",3,"quantile"
"Central",2026-05-09,"0.975",222,2026-04-18,"wk inc covid hosp",3,"quantile"
"East",2026-04-18,"0.025",0,2026-04-18,"wk inc covid hosp",0,"quantile"
"East",2026-04-18,"0.1",23,2026-04-18,"wk inc covid hosp",0,"quantile"
