"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2026-04-04,"0.025",30,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.1",41,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.25",43,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.5",44,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.75",46,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.9",48,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-04,"0.975",58,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.025",38,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.1",48,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.25",51,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.5",52,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.75",53,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.9",55,2026-04-04,"wk inc covid hosp",0,"quantile"
"East",2026-04-04,"0.975",66,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.025",0,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.1",1,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.25",3,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.5",4,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.75",5,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.9",8,2026-04-04,"wk inc covid hosp",0,"quantile"
"North East",2026-04-04,"0.975",18,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.025",0,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.1",0,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.25",0,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.5",1,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.75",2,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.9",4,2026-04-04,"wk inc covid hosp",0,"quantile"
"North West",2026-04-04,"0.975",15,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.025",217,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.1",227,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.25",230,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.5",231,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.75",232,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.9",234,2026-04-04,"wk inc covid hosp",0,"quantile"
"Ontario",2026-04-04,"0.975",245,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.025",33,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.1",44,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.25",46,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.5",47,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.75",49,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.9",51,2026-04-04,"wk inc covid hosp",0,"quantile"
"Toronto",2026-04-04,"0.975",62,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.025",67,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.1",78,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.25",80,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.5",81,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.75",82,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.9",84,2026-04-04,"wk inc covid hosp",0,"quantile"
"West",2026-04-04,"0.975",95,2026-04-04,"wk inc covid hosp",0,"quantile"
"Central",2026-04-11,"0.025",0,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.1",31,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.25",41,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.5",46,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.75",51,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.9",62,2026-04-04,"wk inc covid hosp",1,"quantile"
"Central",2026-04-11,"0.975",99,2026-04-04,"wk inc covid hosp",1,"quantile"
"East",2026-04-11,"0.025",11,2026-04-04,"wk inc covid hosp",1,"quantile"
"East",2026-04-11,"0.1",48,2026-04-04,"wk inc covid hosp",1,"quantile"
"East",2026-04-11,"0.25",59,2026-04-04,"wk inc covid hosp",1,"quantile"
"East",2026-04-11,"0.5",64,2026-04-04,"wk inc covid hosp",1,"quantile"
"East",2026-04-11,"0.75",69,2026-04-04,"wk inc covid hosp",1,"quantile"
