reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-09,wk inc covid hosp,-1,2026-05-02,Central,quantile,0.025,0
2026-05-09,wk inc covid hosp,-1,2026-05-02,Central,quantile,0.1,6
2026-05-09,wk inc covid hosp,-1,2026-05-02,Central,quantile,0.25,13
2026-05-09,wk inc covid hosp,-1,2026-05-02,Central,quantile,0.5,20
2026-05-09,wk inc covid hosp,-1,2026-05-02,Central,quantile,0.75,26
2026-05-09,wk inc covid hosp,-1,2026-05-02,Central,quantile,0.9,33
2026-05-09,wk inc covid hosp,-1,2026-05-02,Central,quantile,0.975,39
2026-05-09,wk inc covid hosp,0,2026-05-09,Central,quantile,0.025,0
2026-05-09,wk inc covid hosp,0,2026-05-09,Central,quantile,0.1,2
2026-05-09,wk inc covid hosp,0,2026-05-09,Central,quantile,0.25,8
2026-05-09,wk inc covid hosp,0,2026-05-09,Central,quantile,0.5,14
2026-05-09,wk inc covid hosp,0,2026-05-09,Central,quantile,0.75,21
2026-05-09,wk inc covid hosp,0,2026-05-09,Central,quantile,0.9,27
2026-05-09,wk inc covid hosp,0,2026-05-09,Central,quantile,0.975,35
2026-05-09,wk inc covid hosp,1,2026-05-16,Central,quantile,0.025,0
2026-05-09,wk inc covid hosp,1,2026-05-16,Central,quantile,0.1,0
2026-05-09,wk inc covid hosp,1,2026-05-16,Central,quantile,0.25,6
2026-05-09,wk inc covid hosp,1,2026-05-16,Central,quantile,0.5,12
2026-05-09,wk inc covid hosp,1,2026-05-16,Central,quantile,0.75,17
2026-05-09,wk inc covid hosp,1,2026-05-16,Central,quantile,0.9,23
2026-05-09,wk inc covid hosp,1,2026-05-16,Central,quantile,0.975,30
2026-05-09,wk inc covid hosp,2,2026-05-23,Central,quantile,0.025,0
2026-05-09,wk inc covid hosp,2,2026-05-23,Central,quantile,0.1,0
2026-05-09,wk inc covid hosp,2,2026-05-23,Central,quantile,0.25,3
2026-05-09,wk inc covid hosp,2,2026-05-23,Central,quantile,0.5,7
2026-05-09,wk inc covid hosp,2,2026-05-23,Central,quantile,0.75,11
2026-05-09,wk inc covid hosp,2,2026-05-23,Central,quantile,0.9,15
2026-05-09,wk inc covid hosp,2,2026-05-23,Central,quantile,0.975,21
2026-05-09,wk inc covid hosp,3,2026-05-30,Central,quantile,0.025,0
2026-05-09,wk inc covid hosp,3,2026-05-30,Central,quantile,0.1,0
2026-05-09,wk inc covid hosp,3,2026-05-30,Central,quantile,0.25,2
2026-05-09,wk inc covid hosp,3,2026-05-30,Central,quantile,0.5,6
2026-05-09,wk inc covid hosp,3,2026-05-30,Central,quantile,0.75,10
2026-05-09,wk inc covid hosp,3,2026-05-30,Central,quantile,0.9,15
2026-05-09,wk inc covid hosp,3,2026-05-30,Central,quantile,0.975,25
2026-05-09,wk inc covid hosp,-1,2026-05-02,East,quantile,0.025,0
2026-05-09,wk inc covid hosp,-1,2026-05-02,East,quantile,0.1,0
2026-05-09,wk inc covid hosp,-1,2026-05-02,East,quantile,0.25,7
2026-05-09,wk inc covid hosp,-1,2026-05-02,East,quantile,0.5,15
