reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-05-09,wk inc covid hosp,-1,Central,2026-05-02,quantile,0.025,0
2026-05-09,wk inc covid hosp,-1,Central,2026-05-02,quantile,0.1,0
2026-05-09,wk inc covid hosp,-1,Central,2026-05-02,quantile,0.25,0
2026-05-09,wk inc covid hosp,-1,Central,2026-05-02,quantile,0.5,19
2026-05-09,wk inc covid hosp,-1,Central,2026-05-02,quantile,0.75,54
2026-05-09,wk inc covid hosp,-1,Central,2026-05-02,quantile,0.9,72
2026-05-09,wk inc covid hosp,-1,Central,2026-05-02,quantile,0.975,79
2026-05-09,wk inc covid hosp,0,Central,2026-05-09,quantile,0.025,0
2026-05-09,wk inc covid hosp,0,Central,2026-05-09,quantile,0.1,0
2026-05-09,wk inc covid hosp,0,Central,2026-05-09,quantile,0.25,0
2026-05-09,wk inc covid hosp,0,Central,2026-05-09,quantile,0.5,13
2026-05-09,wk inc covid hosp,0,Central,2026-05-09,quantile,0.75,48
2026-05-09,wk inc covid hosp,0,Central,2026-05-09,quantile,0.9,65
2026-05-09,wk inc covid hosp,0,Central,2026-05-09,quantile,0.975,73
2026-05-09,wk inc covid hosp,1,Central,2026-05-16,quantile,0.025,0
2026-05-09,wk inc covid hosp,1,Central,2026-05-16,quantile,0.1,0
2026-05-09,wk inc covid hosp,1,Central,2026-05-16,quantile,0.25,0
2026-05-09,wk inc covid hosp,1,Central,2026-05-16,quantile,0.5,10
2026-05-09,wk inc covid hosp,1,Central,2026-05-16,quantile,0.75,46
2026-05-09,wk inc covid hosp,1,Central,2026-05-16,quantile,0.9,63
2026-05-09,wk inc covid hosp,1,Central,2026-05-16,quantile,0.975,71
2026-05-09,wk inc covid hosp,2,Central,2026-05-23,quantile,0.025,0
2026-05-09,wk inc covid hosp,2,Central,2026-05-23,quantile,0.1,0
2026-05-09,wk inc covid hosp,2,Central,2026-05-23,quantile,0.25,0
2026-05-09,wk inc covid hosp,2,Central,2026-05-23,quantile,0.5,6
2026-05-09,wk inc covid hosp,2,Central,2026-05-23,quantile,0.75,41
2026-05-09,wk inc covid hosp,2,Central,2026-05-23,quantile,0.9,58
2026-05-09,wk inc covid hosp,2,Central,2026-05-23,quantile,0.975,65
2026-05-09,wk inc covid hosp,3,Central,2026-05-30,quantile,0.025,0
2026-05-09,wk inc covid hosp,3,Central,2026-05-30,quantile,0.1,0
2026-05-09,wk inc covid hosp,3,Central,2026-05-30,quantile,0.25,0
2026-05-09,wk inc covid hosp,3,Central,2026-05-30,quantile,0.5,3
2026-05-09,wk inc covid hosp,3,Central,2026-05-30,quantile,0.75,38
2026-05-09,wk inc covid hosp,3,Central,2026-05-30,quantile,0.9,55
2026-05-09,wk inc covid hosp,3,Central,2026-05-30,quantile,0.975,63
2026-05-09,wk inc flu hosp,-1,Central,2026-05-02,quantile,0.025,0
2026-05-09,wk inc flu hosp,-1,Central,2026-05-02,quantile,0.1,0
2026-05-09,wk inc flu hosp,-1,Central,2026-05-02,quantile,0.25,0
2026-05-09,wk inc flu hosp,-1,Central,2026-05-02,quantile,0.5,11
2026-05-09,wk inc flu hosp,-1,Central,2026-05-02,quantile,0.75,38
2026-05-09,wk inc flu hosp,-1,Central,2026-05-02,quantile,0.9,51
2026-05-09,wk inc flu hosp,-1,Central,2026-05-02,quantile,0.975,57
2026-05-09,wk inc flu hosp,0,Central,2026-05-09,quantile,0.025,0
2026-05-09,wk inc flu hosp,0,Central,2026-05-09,quantile,0.1,0
2026-05-09,wk inc flu hosp,0,Central,2026-05-09,quantile,0.25,0
2026-05-09,wk inc flu hosp,0,Central,2026-05-09,quantile,0.5,11
2026-05-09,wk inc flu hosp,0,Central,2026-05-09,quantile,0.75,38
2026-05-09,wk inc flu hosp,0,Central,2026-05-09,quantile,0.9,52
2026-05-09,wk inc flu hosp,0,Central,2026-05-09,quantile,0.975,57
2026-05-09,wk inc flu hosp,1,Central,2026-05-16,quantile,0.025,0
2026-05-09,wk inc flu hosp,1,Central,2026-05-16,quantile,0.1,0
2026-05-09,wk inc flu hosp,1,Central,2026-05-16,quantile,0.25,0
2026-05-09,wk inc flu hosp,1,Central,2026-05-16,quantile,0.5,10
2026-05-09,wk inc flu hosp,1,Central,2026-05-16,quantile,0.75,37
2026-05-09,wk inc flu hosp,1,Central,2026-05-16,quantile,0.9,51
2026-05-09,wk inc flu hosp,1,Central,2026-05-16,quantile,0.975,57
2026-05-09,wk inc flu hosp,2,Central,2026-05-23,quantile,0.025,0
2026-05-09,wk inc flu hosp,2,Central,2026-05-23,quantile,0.1,0
2026-05-09,wk inc flu hosp,2,Central,2026-05-23,quantile,0.25,0
2026-05-09,wk inc flu hosp,2,Central,2026-05-23,quantile,0.5,10
2026-05-09,wk inc flu hosp,2,Central,2026-05-23,quantile,0.75,38
2026-05-09,wk inc flu hosp,2,Central,2026-05-23,quantile,0.9,52
2026-05-09,wk inc flu hosp,2,Central,2026-05-23,quantile,0.975,58
2026-05-09,wk inc flu hosp,3,Central,2026-05-30,quantile,0.025,0
2026-05-09,wk inc flu hosp,3,Central,2026-05-30,quantile,0.1,0
2026-05-09,wk inc flu hosp,3,Central,2026-05-30,quantile,0.25,0
2026-05-09,wk inc flu hosp,3,Central,2026-05-30,quantile,0.5,9
2026-05-09,wk inc flu hosp,3,Central,2026-05-30,quantile,0.75,38
2026-05-09,wk inc flu hosp,3,Central,2026-05-30,quantile,0.9,53
2026-05-09,wk inc flu hosp,3,Central,2026-05-30,quantile,0.975,59
2026-05-09,wk inc rsv hosp,-1,Central,2026-05-02,quantile,0.025,0
2026-05-09,wk inc rsv hosp,-1,Central,2026-05-02,quantile,0.1,0
2026-05-09,wk inc rsv hosp,-1,Central,2026-05-02,quantile,0.25,0
2026-05-09,wk inc rsv hosp,-1,Central,2026-05-02,quantile,0.5,9
2026-05-09,wk inc rsv hosp,-1,Central,2026-05-02,quantile,0.75,32
2026-05-09,wk inc rsv hosp,-1,Central,2026-05-02,quantile,0.9,43
2026-05-09,wk inc rsv hosp,-1,Central,2026-05-02,quantile,0.975,47
2026-05-09,wk inc rsv hosp,0,Central,2026-05-09,quantile,0.025,0
2026-05-09,wk inc rsv hosp,0,Central,2026-05-09,quantile,0.1,0
2026-05-09,wk inc rsv hosp,0,Central,2026-05-09,quantile,0.25,0
2026-05-09,wk inc rsv hosp,0,Central,2026-05-09,quantile,0.5,5
2026-05-09,wk inc rsv hosp,0,Central,2026-05-09,quantile,0.75,26
2026-05-09,wk inc rsv hosp,0,Central,2026-05-09,quantile,0.9,37
2026-05-09,wk inc rsv hosp,0,Central,2026-05-09,quantile,0.975,42
2026-05-09,wk inc rsv hosp,1,Central,2026-05-16,quantile,0.025,0
2026-05-09,wk inc rsv hosp,1,Central,2026-05-16,quantile,0.1,0
2026-05-09,wk inc rsv hosp,1,Central,2026-05-16,quantile,0.25,0
2026-05-09,wk inc rsv hosp,1,Central,2026-05-16,quantile,0.5,8
2026-05-09,wk inc rsv hosp,1,Central,2026-05-16,quantile,0.75,30
2026-05-09,wk inc rsv hosp,1,Central,2026-05-16,quantile,0.9,41
2026-05-09,wk inc rsv hosp,1,Central,2026-05-16,quantile,0.975,45
2026-05-09,wk inc rsv hosp,2,Central,2026-05-23,quantile,0.025,0
2026-05-09,wk inc rsv hosp,2,Central,2026-05-23,quantile,0.1,0
2026-05-09,wk inc rsv hosp,2,Central,2026-05-23,quantile,0.25,0
2026-05-09,wk inc rsv hosp,2,Central,2026-05-23,quantile,0.5,6
2026-05-09,wk inc rsv hosp,2,Central,2026-05-23,quantile,0.75,28
2026-05-09,wk inc rsv hosp,2,Central,2026-05-23,quantile,0.9,38
2026-05-09,wk inc rsv hosp,2,Central,2026-05-23,quantile,0.975,43
2026-05-09,wk inc rsv hosp,3,Central,2026-05-30,quantile,0.025,0
